"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"4313102";"Nova Palma (RS)";"Total";"Total";"1";"Total";"570"
"4313201";"Nova Petrópolis (RS)";"Total";"Total";"1";"Total";"1003"
"4313300";"Nova Prata (RS)";"Total";"Total";"1";"Total";"388"
"4313334";"Nova Ramada (RS)";"Total";"Total";"1";"Total";"501"
"4313359";"Nova Roma do Sul (RS)";"Total";"Total";"1";"Total";"421"
"4313375";"Nova Santa Rita (RS)";"Total";"Total";"1";"Total";"417"
"4313391";"Novo Cabrais (RS)";"Total";"Total";"1";"Total";"709"
"4313409";"Novo Hamburgo (RS)";"Total";"Total";"1";"Total";"269"
"4313425";"Novo Machado (RS)";"Total";"Total";"1";"Total";"712"
"4313441";"Novo Tiradentes (RS)";"Total";"Total";"1";"Total";"365"
"4313466";"Novo Xingu (RS)";"Total";"Total";"1";"Total";"364"
"4313490";"Novo Barreiro (RS)";"Total";"Total";"1";"Total";"664"
"4313508";"Osório (RS)";"Total";"Total";"1";"Total";"529"
"4313607";"Paim Filho (RS)";"Total";"Total";"1";"Total";"541"
"4313656";"Palmares do Sul (RS)";"Total";"Total";"1";"Total";"259"
"4313706";"Palmeira das Missões (RS)";"Total";"Total";"1";"Total";"1155"
"4313805";"Palmitinho (RS)";"Total";"Total";"1";"Total";"954"
"4313904";"Panambi (RS)";"Total";"Total";"1";"Total";"851"
"4313953";"Pantano Grande (RS)";"Total";"Total";"1";"Total";"263"
"4314001";"Paraí (RS)";"Total";"Total";"1";"Total";"484"
"4314027";"Paraíso do Sul (RS)";"Total";"Total";"1";"Total";"1057"
"4314035";"Pareci Novo (RS)";"Total";"Total";"1";"Total";"378"
"4314050";"Parobé (RS)";"Total";"Total";"1";"Total";"201"
"4314068";"Passa Sete (RS)";"Total";"Total";"1";"Total";"1015"
"4314076";"Passo do Sobrado (RS)";"Total";"Total";"1";"Total";"1079"
"4314100";"Passo Fundo (RS)";"Total";"Total";"1";"Total";"909"
"4314134";"Paulo Bento (RS)";"Total";"Total";"1";"Total";"289"
"4314159";"Paverama (RS)";"Total";"Total";"1";"Total";"1219"
"4314175";"Pedras Altas (RS)";"Total";"Total";"1";"Total";"519"
"4314209";"Pedro Osório (RS)";"Total";"Total";"1";"Total";"165"
"4314308";"Pejuçara (RS)";"Total";"Total";"1";"Total";"283"
"4314407";"Pelotas (RS)";"Total";"Total";"1";"Total";"2697"
"4314423";"Picada Café (RS)";"Total";"Total";"1";"Total";"176"
"4314456";"Pinhal (RS)";"Total";"Total";"1";"Total";"440"
"4314464";"Pinhal da Serra (RS)";"Total";"Total";"1";"Total";"563"
"4314472";"Pinhal Grande (RS)";"Total";"Total";"1";"Total";"679"
"4314498";"Pinheirinho do Vale (RS)";"Total";"Total";"1";"Total";"680"
"4314506";"Pinheiro Machado (RS)";"Total";"Total";"1";"Total";"1375"
"4314548";"Pinto Bandeira (RS)";"Total";"Total";"1";"Total";"413"
"4314555";"Pirapó (RS)";"Total";"Total";"1";"Total";"614"
"4314605";"Piratini (RS)";"Total";"Total";"1";"Total";"2697"
"4314704";"Planalto (RS)";"Total";"Total";"1";"Total";"1080"
"4314753";"Poço das Antas (RS)";"Total";"Total";"1";"Total";"468"
"4314779";"Pontão (RS)";"Total";"Total";"1";"Total";"440"
"4314787";"Ponte Preta (RS)";"Total";"Total";"1";"Total";"299"
"4314803";"Portão (RS)";"Total";"Total";"1";"Total";"372"
"4314902";"Porto Alegre (RS)";"Total";"Total";"1";"Total";"384"
"4315008";"Porto Lucena (RS)";"Total";"Total";"1";"Total";"1098"
"4315057";"Porto Mauá (RS)";"Total";"Total";"1";"Total";"432"
"4315073";"Porto Vera Cruz (RS)";"Total";"Total";"1";"Total";"494"
"4315107";"Porto Xavier (RS)";"Total";"Total";"1";"Total";"1120"
"4315131";"Pouso Novo (RS)";"Total";"Total";"1";"Total";"306"
"4315149";"Presidente Lucena (RS)";"Total";"Total";"1";"Total";"281"
"4315156";"Progresso (RS)";"Total";"Total";"1";"Total";"1033"
"4315172";"Protásio Alves (RS)";"Total";"Total";"1";"Total";"330"
"4315206";"Putinga (RS)";"Total";"Total";"1";"Total";"634"
"4315305";"Quaraí (RS)";"Total";"Total";"1";"Total";"933"
"4315313";"Quatro Irmãos (RS)";"Total";"Total";"1";"Total";"210"
"4315321";"Quevedos (RS)";"Total";"Total";"1";"Total";"562"
"4315354";"Quinze de Novembro (RS)";"Total";"Total";"1";"Total";"433"
"4315404";"Redentora (RS)";"Total";"Total";"1";"Total";"1086"
"4315453";"Relvado (RS)";"Total";"Total";"1";"Total";"352"
"4315503";"Restinga Sêca (RS)";"Total";"Total";"1";"Total";"1153"
"4315552";"Rio dos Índios (RS)";"Total";"Total";"1";"Total";"564"
"4315602";"Rio Grande (RS)";"Total";"Total";"1";"Total";"915"
"4315701";"Rio Pardo (RS)";"Total";"Total";"1";"Total";"2437"
"4315750";"Riozinho (RS)";"Total";"Total";"1";"Total";"428"
"4315800";"Roca Sales (RS)";"Total";"Total";"1";"Total";"816"
"4315909";"Rodeio Bonito (RS)";"Total";"Total";"1";"Total";"515"
"4315958";"Rolador (RS)";"Total";"Total";"1";"Total";"712"
"4316006";"Rolante (RS)";"Total";"Total";"1";"Total";"940"
"4316105";"Ronda Alta (RS)";"Total";"Total";"1";"Total";"782"
"4316204";"Rondinha (RS)";"Total";"Total";"1";"Total";"763"
"4316303";"Roque Gonzales (RS)";"Total";"Total";"1";"Total";"999"
"4316402";"Rosário do Sul (RS)";"Total";"Total";"1";"Total";"1661"
"4316428";"Sagrada Família (RS)";"Total";"Total";"1";"Total";"350"
"4316436";"Saldanha Marinho (RS)";"Total";"Total";"1";"Total";"249"
"4316451";"Salto do Jacuí (RS)";"Total";"Total";"1";"Total";"437"
"4316477";"Salvador das Missões (RS)";"Total";"Total";"1";"Total";"355"
"4316501";"Salvador do Sul (RS)";"Total";"Total";"1";"Total";"419"
"4316600";"Sananduva (RS)";"Total";"Total";"1";"Total";"1338"
"4316709";"Santa Bárbara do Sul (RS)";"Total";"Total";"1";"Total";"651"
"4316733";"Santa Cecília do Sul (RS)";"Total";"Total";"1";"Total";"429"
"4316758";"Santa Clara do Sul (RS)";"Total";"Total";"1";"Total";"619"
"4316808";"Santa Cruz do Sul (RS)";"Total";"Total";"1";"Total";"2455"
"4316907";"Santa Maria (RS)";"Total";"Total";"1";"Total";"1703"
"4316956";"Santa Maria do Herval (RS)";"Total";"Total";"1";"Total";"578"
"4316972";"Santa Margarida do Sul (RS)";"Total";"Total";"1";"Total";"506"
"4317004";"Santana da Boa Vista (RS)";"Total";"Total";"1";"Total";"1737"
"4317103";"Sant'Ana do Livramento (RS)";"Total";"Total";"1";"Total";"2962"
"4317202";"Santa Rosa (RS)";"Total";"Total";"1";"Total";"1383"
"4317251";"Santa Tereza (RS)";"Total";"Total";"1";"Total";"270"
"4317301";"Santa Vitória do Palmar (RS)";"Total";"Total";"1";"Total";"632"
"4317400";"Santiago (RS)";"Total";"Total";"1";"Total";"1496"
"4317509";"Santo Ângelo (RS)";"Total";"Total";"1";"Total";"1216"
"4317558";"Santo Antônio do Palma (RS)";"Total";"Total";"1";"Total";"393"
"4317608";"Santo Antônio da Patrulha (RS)";"Total";"Total";"1";"Total";"2701"
"4317707";"Santo Antônio das Missões (RS)";"Total";"Total";"1";"Total";"1210"
"4317756";"Santo Antônio do Planalto (RS)";"Total";"Total";"1";"Total";"310"
"4317806";"Santo Augusto (RS)";"Total";"Total";"1";"Total";"586"
"4317905";"Santo Cristo (RS)";"Total";"Total";"1";"Total";"1693"
"4317954";"Santo Expedito do Sul (RS)";"Total";"Total";"1";"Total";"498"
"4318002";"São Borja (RS)";"Total";"Total";"1";"Total";"1017"
"4318051";"São Domingos do Sul (RS)";"Total";"Total";"1";"Total";"297"
"4318101";"São Francisco de Assis (RS)";"Total";"Total";"1";"Total";"2325"
"4318200";"São Francisco de Paula (RS)";"Total";"Total";"1";"Total";"1355"
"4318309";"São Gabriel (RS)";"Total";"Total";"1";"Total";"2208"
"4318408";"São Jerônimo (RS)";"Total";"Total";"1";"Total";"1499"
"4318424";"São João da Urtiga (RS)";"Total";"Total";"1";"Total";"634"
"4318432";"São João do Polêsine (RS)";"Total";"Total";"1";"Total";"184"
"4318440";"São Jorge (RS)";"Total";"Total";"1";"Total";"391"
"4318457";"São José das Missões (RS)";"Total";"Total";"1";"Total";"563"
"4318465";"São José do Herval (RS)";"Total";"Total";"1";"Total";"383"
"4318481";"São José do Hortêncio (RS)";"Total";"Total";"1";"Total";"269"
"4318499";"São José do Inhacorá (RS)";"Total";"Total";"1";"Total";"424"
"4318507";"São José do Norte (RS)";"Total";"Total";"1";"Total";"1649"
"4318606";"São José do Ouro (RS)";"Total";"Total";"1";"Total";"664"
"4318614";"São José do Sul (RS)";"Total";"Total";"1";"Total";"351"
"4318622";"São José dos Ausentes (RS)";"Total";"Total";"1";"Total";"508"
"4318705";"São Leopoldo (RS)";"Total";"Total";"1";"Total";"65"
"4318804";"São Lourenço do Sul (RS)";"Total";"Total";"1";"Total";"3850"
"4318903";"São Luiz Gonzaga (RS)";"Total";"Total";"1";"Total";"1265"
"4319000";"São Marcos (RS)";"Total";"Total";"1";"Total";"617"
"4319109";"São Martinho (RS)";"Total";"Total";"1";"Total";"462"
"4319125";"São Martinho da Serra (RS)";"Total";"Total";"1";"Total";"629"
"4319158";"São Miguel das Missões (RS)";"Total";"Total";"1";"Total";"1079"
"4319208";"São Nicolau (RS)";"Total";"Total";"1";"Total";"686"
"4319307";"São Paulo das Missões (RS)";"Total";"Total";"1";"Total";"1096"
"4319356";"São Pedro da Serra (RS)";"Total";"Total";"1";"Total";"218"
"4319364";"São Pedro das Missões (RS)";"Total";"Total";"1";"Total";"332"
"4319372";"São Pedro do Butiá (RS)";"Total";"Total";"1";"Total";"425"
"4319406";"São Pedro do Sul (RS)";"Total";"Total";"1";"Total";"1350"
"4319505";"São Sebastião do Caí (RS)";"Total";"Total";"1";"Total";"622"
"4319604";"São Sepé (RS)";"Total";"Total";"1";"Total";"1587"
"4319703";"São Valentim (RS)";"Total";"Total";"1";"Total";"420"
"4319711";"São Valentim do Sul (RS)";"Total";"Total";"1";"Total";"412"
"4319737";"São Valério do Sul (RS)";"Total";"Total";"1";"Total";"281"
"4319752";"São Vendelino (RS)";"Total";"Total";"1";"Total";"153"
"4319802";"São Vicente do Sul (RS)";"Total";"Total";"1";"Total";"955"
"4319901";"Sapiranga (RS)";"Total";"Total";"1";"Total";"242"
"4320008";"Sapucaia do Sul (RS)";"Total";"Total";"1";"Total";"37"
"4320107";"Sarandi (RS)";"Total";"Total";"1";"Total";"739"
"4320206";"Seberi (RS)";"Total";"Total";"1";"Total";"1160"
"4320230";"Sede Nova (RS)";"Total";"Total";"1";"Total";"335"
"4320263";"Segredo (RS)";"Total";"Total";"1";"Total";"982"
"4320305";"Selbach (RS)";"Total";"Total";"1";"Total";"490"
"4320321";"Senador Salgado Filho (RS)";"Total";"Total";"1";"Total";"539"
"4320354";"Sentinela do Sul (RS)";"Total";"Total";"1";"Total";"888"
"4320404";"Serafina Corrêa (RS)";"Total";"Total";"1";"Total";"473"
"4320453";"Sério (RS)";"Total";"Total";"1";"Total";"517"
"4320503";"Sertão (RS)";"Total";"Total";"1";"Total";"736"
"4320552";"Sertão Santana (RS)";"Total";"Total";"1";"Total";"947"
"4320578";"Sete de Setembro (RS)";"Total";"Total";"1";"Total";"351"
"4320602";"Severiano de Almeida (RS)";"Total";"Total";"1";"Total";"648"
"4320651";"Silveira Martins (RS)";"Total";"Total";"1";"Total";"356"
"4320677";"Sinimbu (RS)";"Total";"Total";"1";"Total";"1675"
"4320701";"Sobradinho (RS)";"Total";"Total";"1";"Total";"655"
"4320800";"Soledade (RS)";"Total";"Total";"1";"Total";"1353"
"4320859";"Tabaí (RS)";"Total";"Total";"1";"Total";"677"
"4320909";"Tapejara (RS)";"Total";"Total";"1";"Total";"652"
"4321006";"Tapera (RS)";"Total";"Total";"1";"Total";"364"
"4321105";"Tapes (RS)";"Total";"Total";"1";"Total";"276"
"4321204";"Taquara (RS)";"Total";"Total";"1";"Total";"1360"
"4321303";"Taquari (RS)";"Total";"Total";"1";"Total";"849"
"4321329";"Taquaruçu do Sul (RS)";"Total";"Total";"1";"Total";"416"
"4321352";"Tavares (RS)";"Total";"Total";"1";"Total";"717"
"4321402";"Tenente Portela (RS)";"Total";"Total";"1";"Total";"876"
"4321436";"Terra de Areia (RS)";"Total";"Total";"1";"Total";"301"
"4321451";"Teutônia (RS)";"Total";"Total";"1";"Total";"960"
"4321469";"Tio Hugo (RS)";"Total";"Total";"1";"Total";"323"
"4321477";"Tiradentes do Sul (RS)";"Total";"Total";"1";"Total";"927"
"4321493";"Toropi (RS)";"Total";"Total";"1";"Total";"597"
"4321501";"Torres (RS)";"Total";"Total";"1";"Total";"352"
"4321600";"Tramandaí (RS)";"Total";"Total";"1";"Total";"69"
"4321626";"Travesseiro (RS)";"Total";"Total";"1";"Total";"415"
"4321634";"Três Arroios (RS)";"Total";"Total";"1";"Total";"570"
"4321667";"Três Cachoeiras (RS)";"Total";"Total";"1";"Total";"681"
"4321709";"Três Coroas (RS)";"Total";"Total";"1";"Total";"420"
"4321808";"Três de Maio (RS)";"Total";"Total";"1";"Total";"1395"
"4321832";"Três Forquilhas (RS)";"Total";"Total";"1";"Total";"409"
"4321857";"Três Palmeiras (RS)";"Total";"Total";"1";"Total";"478"
"4321907";"Três Passos (RS)";"Total";"Total";"1";"Total";"1285"
"4321956";"Trindade do Sul (RS)";"Total";"Total";"1";"Total";"529"
"4322004";"Triunfo (RS)";"Total";"Total";"1";"Total";"1236"
"4322103";"Tucunduva (RS)";"Total";"Total";"1";"Total";"536"
"4322152";"Tunas (RS)";"Total";"Total";"1";"Total";"772"
"4322186";"Tupanci do Sul (RS)";"Total";"Total";"1";"Total";"412"
"4322202";"Tupanciretã (RS)";"Total";"Total";"1";"Total";"1180"
"4322251";"Tupandi (RS)";"Total";"Total";"1";"Total";"492"
"4322301";"Tuparendi (RS)";"Total";"Total";"1";"Total";"1006"
"4322327";"Turuçu (RS)";"Total";"Total";"1";"Total";"372"
"4322343";"Ubiretama (RS)";"Total";"Total";"1";"Total";"664"
"4322350";"União da Serra (RS)";"Total";"Total";"1";"Total";"374"
"4322376";"Unistalda (RS)";"Total";"Total";"1";"Total";"514"
"4322400";"Uruguaiana (RS)";"Total";"Total";"1";"Total";"1116"
"4322509";"Vacaria (RS)";"Total";"Total";"1";"Total";"1039"
"4322525";"Vale Verde (RS)";"Total";"Total";"1";"Total";"479"
"4322533";"Vale do Sol (RS)";"Total";"Total";"1";"Total";"1719"
"4322541";"Vale Real (RS)";"Total";"Total";"1";"Total";"125"
"4322558";"Vanini (RS)";"Total";"Total";"1";"Total";"320"
"4322608";"Venâncio Aires (RS)";"Total";"Total";"1";"Total";"4367"
"4322707";"Vera Cruz (RS)";"Total";"Total";"1";"Total";"1597"
"4322806";"Veranópolis (RS)";"Total";"Total";"1";"Total";"729"
"4322855";"Vespasiano Corrêa (RS)";"Total";"Total";"1";"Total";"401"
"4322905";"Viadutos (RS)";"Total";"Total";"1";"Total";"726"
"4323002";"Viamão (RS)";"Total";"Total";"1";"Total";"1542"
"4323101";"Vicente Dutra (RS)";"Total";"Total";"1";"Total";"798"
"4323200";"Victor Graeff (RS)";"Total";"Total";"1";"Total";"579"
"4323309";"Vila Flores (RS)";"Total";"Total";"1";"Total";"260"
"4323358";"Vila Lângaro (RS)";"Total";"Total";"1";"Total";"416"
"4323408";"Vila Maria (RS)";"Total";"Total";"1";"Total";"545"
"4323457";"Vila Nova do Sul (RS)";"Total";"Total";"1";"Total";"527"
"4323507";"Vista Alegre (RS)";"Total";"Total";"1";"Total";"413"
"4323606";"Vista Alegre do Prata (RS)";"Total";"Total";"1";"Total";"316"
"4323705";"Vista Gaúcha (RS)";"Total";"Total";"1";"Total";"391"
"4323754";"Vitória das Missões (RS)";"Total";"Total";"1";"Total";"774"
"4323770";"Westfália (RS)";"Total";"Total";"1";"Total";"460"
"4323804";"Xangri-lá (RS)";"Total";"Total";"1";"Total";"18"
"5000203";"Água Clara (MS)";"Total";"Total";"1";"Total";"376"
"5000252";"Alcinópolis (MS)";"Total";"Total";"1";"Total";"604"
"5000609";"Amambai (MS)";"Total";"Total";"1";"Total";"1429"
"5000708";"Anastácio (MS)";"Total";"Total";"1";"Total";"1058"
"5000807";"Anaurilândia (MS)";"Total";"Total";"1";"Total";"777"
"5000856";"Angélica (MS)";"Total";"Total";"1";"Total";"487"
"5000906";"Antônio João (MS)";"Total";"Total";"1";"Total";"298"
"5001003";"Aparecida do Taboado (MS)";"Total";"Total";"1";"Total";"734"
"5001102";"Aquidauana (MS)";"Total";"Total";"1";"Total";"1223"
"5001243";"Aral Moreira (MS)";"Total";"Total";"1";"Total";"618"
"5001508";"Bandeirantes (MS)";"Total";"Total";"1";"Total";"704"
"5001904";"Bataguassu (MS)";"Total";"Total";"1";"Total";"904"
"5002001";"Batayporã (MS)";"Total";"Total";"1";"Total";"492"
"5002100";"Bela Vista (MS)";"Total";"Total";"1";"Total";"1316"
"5002159";"Bodoquena (MS)";"Total";"Total";"1";"Total";"670"
"5002209";"Bonito (MS)";"Total";"Total";"1";"Total";"895"
"5002308";"Brasilândia (MS)";"Total";"Total";"1";"Total";"831"
"5002407";"Caarapó (MS)";"Total";"Total";"1";"Total";"910"
"5002605";"Camapuã (MS)";"Total";"Total";"1";"Total";"974"
"5002704";"Campo Grande (MS)";"Total";"Total";"1";"Total";"1849"
"5002803";"Caracol (MS)";"Total";"Total";"1";"Total";"472"
"5002902";"Cassilândia (MS)";"Total";"Total";"1";"Total";"698"
"5002951";"Chapadão do Sul (MS)";"Total";"Total";"1";"Total";"265"
"5003108";"Corguinho (MS)";"Total";"Total";"1";"Total";"638"
"5003157";"Coronel Sapucaia (MS)";"Total";"Total";"1";"Total";"478"
"5003207";"Corumbá (MS)";"Total";"Total";"1";"Total";"1766"
"5003256";"Costa Rica (MS)";"Total";"Total";"1";"Total";"590"
"5003306";"Coxim (MS)";"Total";"Total";"1";"Total";"1036"
"5003454";"Deodápolis (MS)";"Total";"Total";"1";"Total";"681"
"5003488";"Dois Irmãos do Buriti (MS)";"Total";"Total";"1";"Total";"752"
"5003504";"Douradina (MS)";"Total";"Total";"1";"Total";"223"
"5003702";"Dourados (MS)";"Total";"Total";"1";"Total";"1718"
"5003751";"Eldorado (MS)";"Total";"Total";"1";"Total";"427"
"5003801";"Fátima do Sul (MS)";"Total";"Total";"1";"Total";"620"
"5003900";"Figueirão (MS)";"Total";"Total";"1";"Total";"495"
"5004007";"Glória de Dourados (MS)";"Total";"Total";"1";"Total";"744"
"5004106";"Guia Lopes da Laguna (MS)";"Total";"Total";"1";"Total";"672"
"5004304";"Iguatemi (MS)";"Total";"Total";"1";"Total";"927"
"5004403";"Inocência (MS)";"Total";"Total";"1";"Total";"817"
"5004502";"Itaporã (MS)";"Total";"Total";"1";"Total";"822"
"5004601";"Itaquiraí (MS)";"Total";"Total";"1";"Total";"2820"
"5004700";"Ivinhema (MS)";"Total";"Total";"1";"Total";"1315"
"5004809";"Japorã (MS)";"Total";"Total";"1";"Total";"922"
"5004908";"Jaraguari (MS)";"Total";"Total";"1";"Total";"1527"
"5005004";"Jardim (MS)";"Total";"Total";"1";"Total";"657"
"5005103";"Jateí (MS)";"Total";"Total";"1";"Total";"381"
"5005152";"Juti (MS)";"Total";"Total";"1";"Total";"339"
"5005202";"Ladário (MS)";"Total";"Total";"1";"Total";"161"
"5005251";"Laguna Carapã (MS)";"Total";"Total";"1";"Total";"424"
"5005400";"Maracaju (MS)";"Total";"Total";"1";"Total";"701"
"5005608";"Miranda (MS)";"Total";"Total";"1";"Total";"864"
"5005681";"Mundo Novo (MS)";"Total";"Total";"1";"Total";"424"
"5005707";"Naviraí (MS)";"Total";"Total";"1";"Total";"442"
"5005806";"Nioaque (MS)";"Total";"Total";"1";"Total";"2003"
"5006002";"Nova Alvorada do Sul (MS)";"Total";"Total";"1";"Total";"956"
"5006200";"Nova Andradina (MS)";"Total";"Total";"1";"Total";"1930"
"5006259";"Novo Horizonte do Sul (MS)";"Total";"Total";"1";"Total";"611"
"5006275";"Paraíso das Águas (MS)";"Total";"Total";"1";"Total";"492"
"5006309";"Paranaíba (MS)";"Total";"Total";"1";"Total";"1711"
"5006358";"Paranhos (MS)";"Total";"Total";"1";"Total";"294"
"5006408";"Pedro Gomes (MS)";"Total";"Total";"1";"Total";"563"
"5006606";"Ponta Porã (MS)";"Total";"Total";"1";"Total";"2844"
"5006903";"Porto Murtinho (MS)";"Total";"Total";"1";"Total";"484"
"5007109";"Ribas do Rio Pardo (MS)";"Total";"Total";"1";"Total";"1203"
"5007208";"Rio Brilhante (MS)";"Total";"Total";"1";"Total";"1102"
"5007307";"Rio Negro (MS)";"Total";"Total";"1";"Total";"444"
"5007406";"Rio Verde de Mato Grosso (MS)";"Total";"Total";"1";"Total";"825"
"5007505";"Rochedo (MS)";"Total";"Total";"1";"Total";"694"
"5007554";"Santa Rita do Pardo (MS)";"Total";"Total";"1";"Total";"985"
"5007695";"São Gabriel do Oeste (MS)";"Total";"Total";"1";"Total";"726"
"5007703";"Sete Quedas (MS)";"Total";"Total";"1";"Total";"262"
"5007802";"Selvíria (MS)";"Total";"Total";"1";"Total";"606"
"5007901";"Sidrolândia (MS)";"Total";"Total";"1";"Total";"4087"
"5007935";"Sonora (MS)";"Total";"Total";"1";"Total";"243"
"5007950";"Tacuru (MS)";"Total";"Total";"1";"Total";"686"
"5007976";"Taquarussu (MS)";"Total";"Total";"1";"Total";"330"
"5008008";"Terenos (MS)";"Total";"Total";"1";"Total";"2606"
"5008305";"Três Lagoas (MS)";"Total";"Total";"1";"Total";"1101"
"5008404";"Vicentina (MS)";"Total";"Total";"1";"Total";"409"
"5100102";"Acorizal (MT)";"Total";"Total";"1";"Total";"565"
"5100201";"Água Boa (MT)";"Total";"Total";"1";"Total";"1009"
"5100250";"Alta Floresta (MT)";"Total";"Total";"1";"Total";"1675"
"5100300";"Alto Araguaia (MT)";"Total";"Total";"1";"Total";"691"
"5100359";"Alto Boa Vista (MT)";"Total";"Total";"1";"Total";"207"
"5100409";"Alto Garças (MT)";"Total";"Total";"1";"Total";"298"
"5100508";"Alto Paraguai (MT)";"Total";"Total";"1";"Total";"617"
"5100607";"Alto Taquari (MT)";"Total";"Total";"1";"Total";"159"
"5100805";"Apiacás (MT)";"Total";"Total";"1";"Total";"696"
"5101001";"Araguaiana (MT)";"Total";"Total";"1";"Total";"251"
"5101209";"Araguainha (MT)";"Total";"Total";"1";"Total";"64"
"5101258";"Araputanga (MT)";"Total";"Total";"1";"Total";"697"
"5101308";"Arenápolis (MT)";"Total";"Total";"1";"Total";"284"
"5101407";"Aripuanã (MT)";"Total";"Total";"1";"Total";"2084"
"5101605";"Barão de Melgaço (MT)";"Total";"Total";"1";"Total";"822"
"5101704";"Barra do Bugres (MT)";"Total";"Total";"1";"Total";"532"
"5101803";"Barra do Garças (MT)";"Total";"Total";"1";"Total";"823"
"5101852";"Bom Jesus do Araguaia (MT)";"Total";"Total";"1";"Total";"943"
"5101902";"Brasnorte (MT)";"Total";"Total";"1";"Total";"943"
"5102504";"Cáceres (MT)";"Total";"Total";"1";"Total";"3536"
"5102603";"Campinápolis (MT)";"Total";"Total";"1";"Total";"831"
